                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  4540709449 |  4474625018 |  4333673146 |  4251725367 |  4177760282 |  4068450544 |  4060991073 |  3824197362
  Cycles                             |  2456086560 |  2456086560 |  2456086560 |  2456086560 |  2456086560 |  2456086560 |  2456086560 |  2456086560
  IPC                                |        1.85 |        1.82 |        1.76 |        1.73 |        1.70 |        1.66 |        1.65 |        1.56
  Time (ns)                          |  1023369400 |  1023369400 |  1023369400 |  1023369400 |  1023369400 |  1023369400 |  1023369400 |  1023369400
  Idle time (ns)                     |     1652596 |     1265649 |     1986375 |     1384615 |     1959246 |     2277026 |     2277677 |     2166421
  Idle time (%)                      |        0.2% |        0.1% |        0.2% |        0.1% |        0.2% |        0.2% |        0.2% |        0.2%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   258361661 |   240523610 |   199650437 |   174845777 |   152916383 |   120868432 |   115776466 |   291342921
  num incorrect                      |      164082 |      159887 |      159841 |      164838 |      169252 |      162458 |      178235 |      178587
  misprediction rate                 |       0.06% |       0.07% |       0.08% |       0.09% |       0.11% |       0.13% |       0.15% |       0.06%
  mpki                               |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.05
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   349599753 |   348328589 |   348329038 |   348328852 |   348328452 |   348328374 |   348327849 |   262586046
    num misses                       |         726 |          40 |          40 |          40 |          40 |          40 |          33 |          33
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1575156260 |  1566536955 |  1548223866 |  1540653753 |  1532482898 |  1519321004 |  1527102620 |  1304795662
    num misses                       |     6179300 |     5794278 |     5999566 |     6008436 |     5932068 |     5876427 |     5921245 |     4447387
    miss rate                        |       0.39% |       0.37% |       0.39% |       0.39% |       0.39% |       0.39% |       0.39% |       0.34%
    mpki                             |        1.36 |        1.29 |        1.38 |        1.41 |        1.42 |        1.44 |        1.46 |        1.16
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     6180026 |     5794318 |     5999606 |     6008476 |     5932108 |     5876467 |     5921278 |     4447420
    num misses                       |      910155 |      843403 |      891299 |      802883 |      903116 |      863851 |      960458 |      607621
    miss rate                        |      14.73% |      14.56% |      14.86% |      13.36% |      15.22% |      14.70% |      16.22% |      13.66%
    mpki                             |        0.20 |        0.19 |        0.21 |        0.19 |        0.22 |        0.21 |        0.24 |        0.16
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   349599753 |   348328589 |   348329038 |   348328852 |   348328452 |   348328374 |   348327849 |   262586046
    num cache misses                 |     2125929 |     1611774 |     1775586 |     2001198 |     1531889 |     1950923 |     1247457 |     1043504
