                                     | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7      
  Instructions                       |  17253061974 |  16938543915 |  16890754957 |  16229146415 |  16476675201 |  16404219470 |  16603677009 |  16330480593
  Cycles                             |  14152652880 |  14152652880 |  14152652880 |  14152652880 |  14152652880 |  14152652880 |  14152652880 |  14152652880
  IPC                                |         1.22 |         1.20 |         1.19 |         1.15 |         1.16 |         1.16 |         1.17 |         1.15
  Time (ns)                          |   5896938700 |   5896938700 |   5896938700 |   5896938700 |   5896938700 |   5896938700 |   5896938700 |   5896938700
  Idle time (ns)                     |    146464842 |    283335836 |    360353070 |    309956401 |    112565679 |    327937760 |    186449794 |    136811593
  Idle time (%)                      |         2.5% |         4.8% |         6.1% |         5.3% |         1.9% |         5.6% |         3.2% |         2.3%
Branch predictor stats               |              |              |              |              |              |              |              |             
  num correct                        |   3100027423 |   3055138394 |   3048818440 |   2882173934 |   2954766707 |   2928354808 |   2990757244 |   2928318843
  num incorrect                      |    122578630 |    121879909 |    120061555 |    124920541 |    124991614 |    121880515 |    122909305 |    125212520
  misprediction rate                 |        3.80% |        3.84% |        3.79% |        4.15% |        4.06% |        4.00% |        3.95% |        4.10%
  mpki                               |         7.10 |         7.20 |         7.11 |         7.70 |         7.59 |         7.43 |         7.40 |         7.67
TLB Summary                          |              |              |              |              |              |              |              |             
  I-TLB                              |              |              |              |              |              |              |              |             
    num accesses                     |   2955614615 |   2905340319 |   2903515421 |   2775981331 |   2822800436 |   2804545465 |   2839954174 |   2791828726
    num misses                       |          161 |           72 |           74 |           65 |           73 |           65 |           73 |           65
    miss rate                        |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                              |              |              |              |              |              |              |              |             
    num accesses                     |   5792560419 |   5685705170 |   5654067618 |   5495981770 |   5546599806 |   5540043201 |   5586341181 |   5514439972
    num misses                       |     45401084 |     54207717 |     49548768 |     60829061 |     86173174 |     54096502 |     64868556 |     59426828
    miss rate                        |        0.78% |        0.95% |        0.88% |        1.11% |        1.55% |        0.98% |        1.16% |        1.08%
    mpki                             |         2.63 |         3.20 |         2.93 |         3.75 |         5.23 |         3.30 |         3.91 |         3.64
  L2 TLB                             |              |              |              |              |              |              |              |             
    num accesses                     |     45401245 |     54207789 |     49548842 |     60829126 |     86173247 |     54096567 |     64868629 |     59426893
    num misses                       |      5541522 |      6619238 |      5708096 |      6820430 |     12099194 |      6964220 |      8640865 |     10153213
    miss rate                        |       12.21% |       12.21% |       11.52% |       11.21% |       14.04% |       12.87% |       13.32% |       17.09%
    mpki                             |         0.32 |         0.39 |         0.34 |         0.42 |         0.73 |         0.42 |         0.52 |         0.62
Cache Summary                        |              |              |              |              |              |              |              |             
  Cache L1-I                         |              |              |              |              |              |              |              |             
    num cache accesses               |   2955614615 |   2905340319 |   2903515421 |   2775981331 |   2822800436 |   2804545465 |   2839954174 |   2791828726
    num cache misses                 |       515290 |       883214 |       533701 |       528948 |       652644 |       567575 |       573513 |       731662
    miss rate                        |        0.02% |        0.03% |        0.02% |        0.02% |        0.02% |        0.02% |        0.02% |        0.03%
    mpki                             |         0.03 |         0.05 |         0.03 |         0.03 |         0.04 |         0.03 |         0.03 |         0.04
  Cache L1-D                         |              |              |              |              |              |              |              |             
    num cache accesses               |   5792560419 |   5685705170 |   5654067618 |   5495981770 |   5546599806 |   5540043201 |   5586341181 |   5514439972
    num cache misses                 |    187603754 |    119343343 |    120686071 |    128844036 |    135775494 |    123865736 |    129304684 |    139465439
