                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2426152712 |  2425703672 |  2445582361 |  2443601854 |  2444873187 |  2444394566 |  2652982139 |  2658741368
  Cycles                             |   902751840 |   902751840 |   902751840 |   902751840 |   902751840 |   902751840 |   902751840 |   902751840
  IPC                                |        2.69 |        2.69 |        2.71 |        2.71 |        2.71 |        2.71 |        2.94 |        2.95
  Time (ns)                          |   376146600 |   376146600 |   376146600 |   376146600 |   376146600 |   376146600 |   376146600 |   376146600
  Idle time (ns)                     |      426713 |      645378 |     1069919 |     1074159 |      649969 |     1076288 |      886569 |      678882
  Idle time (%)                      |        0.1% |        0.2% |        0.3% |        0.3% |        0.2% |        0.3% |        0.2% |        0.2%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    12866631 |    13121689 |    20108969 |    19543854 |    19906435 |    19770260 |   303319630 |   304965123
  num incorrect                      |       51506 |       31499 |       32299 |       31602 |       32387 |       31573 |       27424 |       27416
  misprediction rate                 |       0.40% |       0.24% |       0.16% |       0.16% |       0.16% |       0.16% |       0.01% |       0.01%
  mpki                               |        0.02 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   230439149 |   230141823 |   229735694 |   229735714 |   229735556 |   229735756 |   153923759 |   153923755
    num misses                       |         651 |          43 |          43 |          36 |          36 |          36 |          36 |          36
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1098477075 |  1097479596 |  1098980166 |  1098688945 |  1098870275 |  1098810658 |   881180351 |   882002083
    num misses                       |     1452745 |     1400648 |     1472567 |     1454646 |     1384904 |     1412450 |      941206 |      916700
    miss rate                        |       0.13% |       0.13% |       0.13% |       0.13% |       0.13% |       0.13% |       0.11% |       0.10%
    mpki                             |        0.60 |        0.58 |        0.60 |        0.60 |        0.57 |        0.58 |        0.35 |        0.34
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1453396 |     1400691 |     1472610 |     1454682 |     1384940 |     1412486 |      941242 |      916736
    num misses                       |       37506 |       42142 |       35384 |       29819 |       33852 |       34645 |       23578 |       26208
    miss rate                        |       2.58% |       3.01% |       2.40% |       2.05% |       2.44% |       2.45% |       2.50% |       2.86%
    mpki                             |        0.02 |        0.02 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   230439149 |   230141823 |   229735694 |   229735714 |   229735556 |   229735756 |   153923759 |   153923755
    num cache misses                 |      203208 |      185948 |      178430 |      146721 |      164104 |      149487 |      142866 |      115014
    miss rate                        |       0.09% |       0.08% |       0.08% |       0.06% |       0.07% |       0.07% |       0.09% |       0.07%
    mpki                             |        0.08 |        0.08 |        0.07 |        0.06 |        0.07 |        0.06 |        0.05 |        0.04
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1098477075 |  1097479596 |  1098980166 |  1098688945 |  1098870275 |  1098810658 |   881180351 |   882002083
    num cache misses                 |    36848818 |    36838337 |    37344539 |    37217767 |    36820721 |    37011653 |    25087966 |    25247501
    miss rate                        |       3.35% |       3.36% |       3.40% |       3.39% |       3.35% |       3.37% |       2.85% |       2.86%
    mpki                             |       15.19 |       15.19 |       15.27 |       15.23 |       15.06 |       15.14 |        9.46 |        9.50
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    37155059 |    37089607 |    37675312 |    37442740 |    37063540 |    37302280 |    25333614 |    25502249
    num cache misses                 |     3231928 |     3331691 |     3083429 |     3068933 |     3068037 |     3096100 |     1975614 |     1913044
    miss rate                        |       8.70% |       8.98% |       8.18% |       8.20% |       8.28% |       8.30% |       7.80% |       7.50%
    mpki                             |        1.33 |        1.37 |        1.26 |        1.26 |        1.25 |        1.27 |        0.74 |        0.72
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     3379087 |     3453658 |     3289375 |     3206903 |     3201281 |     3304615 |     2183212 |     2132824
    num cache misses                 |       19053 |        4925 |        4970 |        4919 |        4878 |        4873 |        4950 |        5121
    miss rate                        |       0.56% |       0.14% |       0.15% |       0.15% |       0.15% |       0.15% |       0.23% |       0.24%
    mpki                             |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |       53587 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |    33828.73 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |    33775.30 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |        5590 |         688 |         101 |          26 |         147 |          28 |         144 |          77
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
